id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,KODE_KEC,kemendagri_nama_kecamatan,kategori,jumlah,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,BERESIKO STUNTING,5806,KELUARGA,2022
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TIDAK BERESIKO STUNTING,4785,KELUARGA,2022
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,BERESIKO STUNTING,1341,KELUARGA,2022
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TIDAK BERESIKO STUNTING,7724,KELUARGA,2022
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,BERESIKO STUNTING,387,KELUARGA,2022
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TIDAK BERESIKO STUNTING,6201,KELUARGA,2022
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,BERESIKO STUNTING,0,KELUARGA,2022
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,TIDAK BERESIKO STUNTING,7007,KELUARGA,2022
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,BERESIKO STUNTING,1643,KELUARGA,2022
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,TIDAK BERESIKO STUNTING,15793,KELUARGA,2022
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,BERESIKO STUNTING,2948,KELUARGA,2022
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TIDAK BERESIKO STUNTING,4068,KELUARGA,2022
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,BERESIKO STUNTING,6658,KELUARGA,2022
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,TIDAK BERESIKO STUNTING,15507,KELUARGA,2022
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,BERESIKO STUNTING,2297,KELUARGA,2022
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TIDAK BERESIKO STUNTING,566,KELUARGA,2022
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,BERESIKO STUNTING,5813,KELUARGA,2022
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,TIDAK BERESIKO STUNTING,8045,KELUARGA,2022
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,BERESIKO STUNTING,1541,KELUARGA,2022
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,TIDAK BERESIKO STUNTING,5954,KELUARGA,2022
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,BERESIKO STUNTING,3387,KELUARGA,2022
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,TIDAK BERESIKO STUNTING,5548,KELUARGA,2022
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,BERESIKO STUNTING,1541,KELUARGA,2022
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,TIDAK BERESIKO STUNTING,4066,KELUARGA,2022
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,BERESIKO STUNTING,177,KELUARGA,2022
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,TIDAK BERESIKO STUNTING,6035,KELUARGA,2022
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,BERESIKO STUNTING,1392,KELUARGA,2022
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,TIDAK BERESIKO STUNTING,11618,KELUARGA,2022
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,BERESIKO STUNTING,2658,KELUARGA,2022
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,TIDAK BERESIKO STUNTING,8904,KELUARGA,2022
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,BERESIKO STUNTING,2448,KELUARGA,2022
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,TIDAK BERESIKO STUNTING,7832,KELUARGA,2022
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,BERESIKO STUNTING,2248,KELUARGA,2022
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,TIDAK BERESIKO STUNTING,514,KELUARGA,2022
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,BERESIKO STUNTING,1144,KELUARGA,2022
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,TIDAK BERESIKO STUNTING,3131,KELUARGA,2022
37,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,BERESIKO STUNTING,2106,KELUARGA,2022
38,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TIDAK BERESIKO STUNTING,11536,KELUARGA,2022
39,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,BERESIKO STUNTING,171,KELUARGA,2022
40,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,TIDAK BERESIKO STUNTING,171,KELUARGA,2022
41,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,BERESIKO STUNTING,4167,KELUARGA,2022
42,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,TIDAK BERESIKO STUNTING,12441,KELUARGA,2022
43,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,BERESIKO STUNTING,1771,KELUARGA,2022
44,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,TIDAK BERESIKO STUNTING,4985,KELUARGA,2022
45,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,BERESIKO STUNTING,3508,KELUARGA,2022
46,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,TIDAK BERESIKO STUNTING,7369,KELUARGA,2022
47,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,BERESIKO STUNTING,2554,KELUARGA,2022
48,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,TIDAK BERESIKO STUNTING,2778,KELUARGA,2022
49,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,BERESIKO STUNTING,1676,KELUARGA,2022
50,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,TIDAK BERESIKO STUNTING,2781,KELUARGA,2022
51,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,BERESIKO STUNTING,5425,KELUARGA,2022
52,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,TIDAK BERESIKO STUNTING,2794,KELUARGA,2022
53,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,BERESIKO STUNTING,10025,KELUARGA,2022
54,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,TIDAK BERESIKO STUNTING,1525,KELUARGA,2022
55,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,BERESIKO STUNTING,0,KELUARGA,2022
56,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,TIDAK BERESIKO STUNTING,851,KELUARGA,2022
57,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,BERESIKO STUNTING,982,KELUARGA,2022
58,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,TIDAK BERESIKO STUNTING,2851,KELUARGA,2022
59,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,BERESIKO STUNTING,988,KELUARGA,2022
60,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,TIDAK BERESIKO STUNTING,11616,KELUARGA,2022
61,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,BERESIKO STUNTING,7982,KELUARGA,2023
62,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TIDAK BERESIKO STUNTING,4534,KELUARGA,2023
63,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,BERESIKO STUNTING,2646,KELUARGA,2023
64,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TIDAK BERESIKO STUNTING,7057,KELUARGA,2023
65,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,BERESIKO STUNTING,2957,KELUARGA,2023
66,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TIDAK BERESIKO STUNTING,7981,KELUARGA,2023
67,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,BERESIKO STUNTING,4543,KELUARGA,2023
68,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,TIDAK BERESIKO STUNTING,2036,KELUARGA,2023
69,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,BERESIKO STUNTING,14324,KELUARGA,2023
70,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,TIDAK BERESIKO STUNTING,7114,KELUARGA,2023
71,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,BERESIKO STUNTING,3302,KELUARGA,2023
72,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TIDAK BERESIKO STUNTING,3895,KELUARGA,2023
73,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,BERESIKO STUNTING,13069,KELUARGA,2023
74,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,TIDAK BERESIKO STUNTING,6438,KELUARGA,2023
75,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,BERESIKO STUNTING,2133,KELUARGA,2023
76,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TIDAK BERESIKO STUNTING,462,KELUARGA,2023
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,BERESIKO STUNTING,8957,KELUARGA,2023
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,TIDAK BERESIKO STUNTING,5330,KELUARGA,2023
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,BERESIKO STUNTING,11137,KELUARGA,2023
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,TIDAK BERESIKO STUNTING,4142,KELUARGA,2023
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,BERESIKO STUNTING,7904,KELUARGA,2023
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,TIDAK BERESIKO STUNTING,3423,KELUARGA,2023
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,BERESIKO STUNTING,3329,KELUARGA,2023
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,TIDAK BERESIKO STUNTING,9784,KELUARGA,2023
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,BERESIKO STUNTING,3420,KELUARGA,2023
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,TIDAK BERESIKO STUNTING,3790,KELUARGA,2023
87,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,BERESIKO STUNTING,6475,KELUARGA,2023
88,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,TIDAK BERESIKO STUNTING,5265,KELUARGA,2023
89,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,BERESIKO STUNTING,2606,KELUARGA,2023
90,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,TIDAK BERESIKO STUNTING,9897,KELUARGA,2023
91,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,BERESIKO STUNTING,7580,KELUARGA,2023
92,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,TIDAK BERESIKO STUNTING,3313,KELUARGA,2023
93,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,BERESIKO STUNTING,3761,KELUARGA,2023
94,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,TIDAK BERESIKO STUNTING,3835,KELUARGA,2023
95,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,BERESIKO STUNTING,1196,KELUARGA,2023
96,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,TIDAK BERESIKO STUNTING,2912,KELUARGA,2023
97,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,BERESIKO STUNTING,9118,KELUARGA,2023
98,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,TIDAK BERESIKO STUNTING,3811,KELUARGA,2023
99,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,BERESIKO STUNTING,1454,KELUARGA,2023
100,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,TIDAK BERESIKO STUNTING,4435,KELUARGA,2023
101,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,BERESIKO STUNTING,6302,KELUARGA,2023
102,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,TIDAK BERESIKO STUNTING,9125,KELUARGA,2023
103,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,BERESIKO STUNTING,3228,KELUARGA,2023
104,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,TIDAK BERESIKO STUNTING,2905,KELUARGA,2023
105,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,BERESIKO STUNTING,3703,KELUARGA,2023
106,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,TIDAK BERESIKO STUNTING,8066,KELUARGA,2023
107,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,BERESIKO STUNTING,1330,KELUARGA,2023
108,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,TIDAK BERESIKO STUNTING,3653,KELUARGA,2023
109,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,BERESIKO STUNTING,2218,KELUARGA,2023
110,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,TIDAK BERESIKO STUNTING,9629,KELUARGA,2023
111,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,BERESIKO STUNTING,4765,KELUARGA,2023
112,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,TIDAK BERESIKO STUNTING,2905,KELUARGA,2023
113,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,BERESIKO STUNTING,8641,KELUARGA,2023
114,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,TIDAK BERESIKO STUNTING,2509,KELUARGA,2023
115,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,BERESIKO STUNTING,2927,KELUARGA,2023
116,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,TIDAK BERESIKO STUNTING,4854,KELUARGA,2023
117,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,BERESIKO STUNTING,2375,KELUARGA,2023
118,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,TIDAK BERESIKO STUNTING,950,KELUARGA,2023
119,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,BERESIKO STUNTING,4509,KELUARGA,2023
120,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,TIDAK BERESIKO STUNTING,7833,KELUARGA,2023
